ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
4PS3,Paraport Airstrip,"-79.518586, 41.788417",1400,US,Warren,
5A8,Aleknagik / New Airport,"-158.617996216, 59.2826004028",66,US,Aleknagik,WKK
AGGH,Honiara International Airport,"160.05499267578, -9.4280004501343",28,SB,Honiara,HIR
AGGM,Munda Airport,"157.26300048828125, -8.327969551086426",10,SB,,MUA
AHJ,Hongyuan Airport,"102.35224, 32.53154",11600,CN,Aba,AHJ
AMC,Mar de Cortés International Airport,"-113.305864, 31.351621",71,MX,Puerto Peñasco,PPE
ANYN,Nauru International Airport,"166.919006, -0.547458",22,NR,Yaren District,INU
AYBK,Buka Airport,"154.67300415039062, -5.4223198890686035",11,PG,Buka Island,BUA
AYCH,Chimbu Airport,"144.9709930419922, -6.024290084838867",4974,PG,Kundiawa,CMU
AYDU,Daru Airport,"143.207992554, -9.08675956726",20,PG,Daru,DAU
AYGA,Goroka Airport,"145.391998291, -6.081689834590001",5282,PG,Goronka,GKA
AYGN,Gurney Airport,"150.333999634, -10.3114995956",88,PG,Gurney,GUR
AYGR,Girua Airport,"148.309005737, -8.80453968048",311,PG,Popondetta,PNP
AYHK,Kimbe Airport,"150.40499877929688, -5.462170124053955",66,PG,Hoskins,HKN
AYKM,Kerema Airport,"145.770996094, -7.96361017227",10,PG,Kerema,KMA
AYKV,Kavieng Airport,"150.807998657, -2.57940006256",7,PG,Kavieng,KVG
AYMD,Madang Airport,"145.789001465, -5.20707988739",20,PG,Madang,MAG
AYMH,Mount Hagen Kagamuga Airport,"144.29600524902344, -5.826789855957031",5388,PG,Mount Hagen,HGU
AYMN,Mendi Airport,"143.656998, -6.14774",5680,PG,Mendi,MDU
AYMO,Momote Airport,"147.423996, -2.06189",12,PG,Manus Island,MAS
AYNZ,Nadzab Airport,"146.725977, -6.569803",239,PG,Lae,LAE
AYPY,Port Moresby Jacksons International Airport,"147.22000122070312, -9.443380355834961",146,PG,Port Moresby,POM
AYTK,Tokua Airport,"152.380004883, -4.34045982361",32,PG,Tokua,RAB
AYVN,Vanimo Airport,"141.3028, -2.6926",10,PG,Vanimo,VAI
AYWD,Wapenamanda Airport,"143.89500427246094, -5.6433000564575195",5889,PG,,WBM
AYWK,Wewak International Airport,"143.669006348, -3.58383011818",19,PG,Wewak,WWK
AZ-0001,Zabrat Airport,"49.9768066406, 40.4955422161",36,AZ,Baku,ZXT
AZ-0013,Sital Chay Airport,"49.431481361399996, 40.8073129238",,AZ,,
AZ-0021,Kyzylagadzh Air Base,"48.806312084199995, 39.006162267899995",,AZ,,
BCW,Benguera Island Airport,"35.43830108642578, -21.853300094604492",,MZ,Benguera Island,BCW
BG-JAM,Bezmer Air Base,"26.3521995544, 42.4548988342",509,BG,Yambol,JAM
BGAA,Aasiaat Airport,"-52.7846984863, 68.7218017578",74,GL,Aasiaat,JEG
BGBW,Narsarsuaq Airport,"-45.4259986877, 61.1604995728",112,GL,Narsarsuaq,UAK
BGGH,Godthaab / Nuuk Airport,"-51.6781005859, 64.19090271",283,GL,Nuuk,GOH
BGSF,Kangerlussuaq Airport,"-50.7116031647, 67.0122218992",165,GL,Kangerlussuaq,SFJ
BGTL,Thule Air Base,"-68.7032012939, 76.5311965942",251,GL,Thule,THU
BIAR,Akureyri Airport,"-18.07270050048828, 65.66000366210938",6,IS,Akureyri,AEY
BIEG,Egilsstaðir Airport,"-14.401399612426758, 65.2833023071289",76,IS,Egilsstaðir,EGS
BIHN,Hornafjörður Airport,"-15.2272, 64.295601",24,IS,Höfn,HFN
BIHU,Húsavík Airport,"-17.426001, 65.952301",48,IS,Húsavík,HZK
BIIS,Ísafjörður Airport,"-23.135299682617188, 66.05809783935547",8,IS,Ísafjörður,IFJ
BIKF,Keflavik International Airport,"-22.605600357056, 63.985000610352",171,IS,Reykjavík,KEF
BIRK,Reykjavik Airport,"-21.9405994415, 64.1299972534",48,IS,Reykjavik,RKV
BISI,Siglufjörður Airport,"-18.9167, 66.133301",10,IS,Siglufjörður,SIJ
BIVM,Vestmannaeyjar Airport,"-20.278900146484375, 63.42430114746094",326,IS,Vestmannaeyjar,VEY
BKPR,Priština International Airport,"21.035801, 42.5728",1789,XK,Prishtina,PRN
BY-0001,Balbasovo Air Base,"30.29669952392578, 54.439998626708984",620,BY,Orsha,
BY-0003,Bobrovichi Air Base,"29.360000610351562, 52.27830123901367",440,BY,Kalinovichi,
BY-0006,Osovtsy Air Base,"24.884000778199997, 52.5569992065",,BY,Byaroza,
BZ-BGK,Big Creek Airport,"-88.40791320800781, 16.51936912536621",3,BZ,Big Creek,BGK
BZ-CUK,Caye Caulker Airport,"-88.03250122070312, 17.734699249267578",1,BZ,Caye Caulker,CUK
BZ-CYC,Caye Chapel Airport,"-88.04109954833984, 17.7007999420166",3,BZ,Caye Chapel,CYC
BZ-CZH,Corozal Municipal Airport,"-88.41190338134766, 18.382200241088867",40,BZ,Corozal,CZH
BZ-DGA,Dangriga Airport,"-88.23098754882812, 16.98250961303711",508,BZ,Dangriga,DGA
BZ-PLJ,Placencia Airport,"-88.36151123046875, 16.536956787109375",3,BZ,Placencia,PLJ
BZ-PND,Punta Gorda Airport,"-88.80829620360001, 16.102399826",7,BZ,Punta Gorda,PND
BZ-SJX,Sartaneja Airport,"-88.13079833984375, 18.35610008239746",3,BZ,Sartaneja,SJX
BZ-SPR,San Pedro Airport,"-87.97109985351562, 17.91390037536621",4,BZ,San Pedro,SPR
BZ-TZA,Belize City Municipal Airport,"-88.19444274902344, 17.516389846801758",16,BZ,Belize City,TZA
BZB,Bazaruto Island Airport,"35.4729, -21.5411",,MZ,Bazaruto Island,BZB
CA-0671,Cyll,"-110.072021, 53.310365",,CA,,
CA-0673,Cycd,"-123.87085, 49.05497",,CA,Nanaimo,
CN-0002,Nanjing Air Base,"118.81199645996094, 31.998300552368164",,CN,Nanjing,
CN-0003,Laohutun Air Base,"121.76599884033203, 39.66999816894531",,CN,,
CN-0004,Pulandian Air Base,"122.01799774169922, 39.45090103149414",,CN,,
CN-0006,Beijing Shahezhen Air Base,"116.3213882446289, 40.149166107177734",,CN,Beijing,
CN-0007,Beijing Tongxian Air Base,"116.70833587646484, 39.81111145019531",,CN,Beijing,
CN-0010,Hedong Airport,"106.393213889, 38.322758333",,CN,Yinchuan,
CN-0012,Yuanmou Air Base,"101.88200378418, 25.737499237061",3810,CN,Yuanmou,YUA
CN-0013,Fengning Air Base,"116.61799621582031, 41.260799407958984",,CN,,
CN-0014,Hohhot Air Base,"111.22899627685547, 40.73720169067383",,CN,,
CN-0015,Huairen Air Base,"113.142997742, 39.717498779299994",3260,CN,Datong,
CN-0016,Liangxiangzhen Air Base,"116.1259994506836, 39.7578010559082",,CN,Beijing,
CN-0018,Tangguantun Air Base,"117.06800079345703, 38.78110122680664",,CN,,
CN-0020,Wenshui Air Base,"111.96600341796875, 37.407798767089844",,CN,,
CN-0021,Yangcun Air Base,"117.09500122070312, 39.37329864501953",,CN,,
CN-0022,Yongning Air Base,"116.10800170898438, 40.50310134887695",,CN,Yongning,
CN-0024,Zhangjiakou Ningyuan Airport,"114.930000305, 40.7386016846",2347,CN,Zhangjiakou,ZQZ
CN-0025,Zunhua Air Base,"117.88700103759766, 40.102500915527344",,CN,,
CN-0026,Chengdu Air Base,"103.94999694824219, 30.705299377441406",,CN,,
CN-0027,Baoshan Yunduan Airport,"99.168297, 25.053301",5453,CN,,BSD
CN-0030,Chongqing Air Base,"106.35900115966797, 29.49530029296875",,CN,Chongqing,
CN-0040,Lintsang Airfield,"100.025001526, 23.738100051900002",6230,CN,Lincang,LNJ
CN-0041,Luliang Air Base,"103.64199829101562, 24.988300323486328",,CN,,
CN-0043,Mengzi Air Base,"103.33399963378906, 23.395299911499023",,CN,,
CN-0045,Qionglai Air Base,"103.46499633789062, 30.489999771118164",,CN,,
CN-0046,Shigatse Air Base,"89.311401, 29.3519",3782,CN,Xigazê,RKZ
CN-0048,Wenshan Air Base,"103.8270034790039, 23.715599060058594",,CN,,
CN-0049,Xiangyun Midu Air Base,"100.73500061035156, 25.44529914855957",,CN,,
CN-0050,Bao'anying Airport,"101.79852, 26.54",1620,CN,Panzhihua,PZI
CN-0053,Baihe Ning Ming Air Base,"107.125, 22.1205997467041",,CN,,
CN-0055,Changsha Datuopu Airport/AFB,"112.958000183, 28.0688991547",170,CN,Changsha,
CN-0056,Dangyang Air Base,"111.80999755859375, 30.798599243164062",,CN,,
CN-0057,Foluo Northeast Air Base,"109.16100311279297, 18.69219970703125",,CN,,
CN-0061,Foshan Shadi Airport,"113.069999695, 23.083299636799996",6,CN,Foshan,FUO
CN-0063,Guiping Mengshu Air Base,"110.00900268554688, 23.330799102783203",,CN,,
CN-0068,Huizhou Airport,"114.599998474, 23.0499992371",50,CN,Huizhou,HUZ
CN-0069,Jialaishi Air Base,"109.72599792480469, 19.697200775146484",,CN,,
CN-0071,Leiyang Air Base,"112.89199829101562, 26.587200164794922",,CN,,
CN-0072,Lingshui Air Base,"109.98799896240234, 18.494400024414062",,CN,,
CN-0074,Shangqiu Air Base,"115.459261, 34.449507",,CN,Shangqiu,
CN-0076,Zhengzhou Air Base,"113.729631, 34.86125",,CN,,
CN-0079,Shaoguan Guitou Airport,"113.42099762, 24.9785995483",280,CN,Shaoguan,HSC
CN-0080,Suixi Air Base,"110.19999694824219, 21.39579963684082",,CN,,
CN-0081,Jinggangshan Airport,"114.736999512, 26.856899261499997",281,CN,Ji'an,JGS
CN-0082,Baise Youjiang Airport,"106.959999084, 23.7206001282",490,CN,Baise,AEB
CN-0085,Xiaogan Air Base,"113.91100311279297, 30.95439910888672",,CN,,
CN-0089,Baitabu Air Base,"118.875, 34.5713996887207",,CN,,
CN-0090,Cangxian Air Base,"116.92900085449219, 38.40250015258789",,CN,,
CN-0091,Dongying Shengli Airport,"118.788002014, 37.5085983276",15,CN,Dongying,DOY
CN-0092,Jiaozhou/Jiaocheng Air Base,"120.02400207519531, 36.33060073852539",,CN,,
CN-0093,Jinan Air Base,"116.9209976196289, 36.67919921875",,CN,,
CN-0094,Jiugucheng Air Base,"116.11799621582031, 37.4900016784668",,CN,,
CN-0095,Kaifeng Air Base,"114.33899688720703, 34.75389862060547",,CN,Kaifeng,
CN-0096,Laiyang Air Base,"120.59100341796875, 36.963600158691406",,CN,,
CN-0097,Luyang Air Base,"112.89099884033203, 33.68470001220703",,CN,,
CN-0100,Qingdao-Cangkou Air Base,"120.39199829101562, 36.15919876098633",,CN,,
CN-0103,Wendeng Air Base,"122.02300262451172, 37.26470184326172",,CN,,
CN-0104,Xingcheng Air Base,"120.697998047, 40.580299377399996",30,CN,,XEN
CN-0105,Xuzhou Daguozhang Air Base,"117.55799865722656, 34.05889892578125",,CN,,
CN-0106,Xuzhou Jiulishan Air Base,"117.24600219726562, 34.23059844970703",,CN,,
CN-0109,Yidu Air Base,"118.5270004272461, 36.591400146484375",,CN,,
CN-0111,Zhucheng Air Base,"119.43900299072266, 36.02750015258789",,CN,,
CN-0113,Altay Air Base,"88.08580780030002, 47.7498855591",2460,CN,Altay,AAT
CN-0114,Baoji Air Base,"107.47200012207031, 34.531700134277344",,CN,,
CN-0117,Gonghe Air Base,"100.4800033569336, 36.336700439453125",,CN,,
CN-0123,Lanzhou Air Base,"104.21800231933594, 35.91780090332031",,CN,Lanzhou,
CN-0125,Ljtao Air Base,"103.83599853515625, 35.30830001831055",,CN,,
CN-0127,Qingshui Air Base,"98.88420104980469, 39.5546989440918",,CN,,
CN-0130,Tianshui Maijishan Airport,"105.86000061, 34.5593986511",3590,CN,Tianshui,THQ
CN-0132,Urumqi South Air Base,"87.5322036743164, 43.46580123901367",,CN,,
CN-0133,Uxxaktal Air Base,"87.18810272216797, 42.181400299072266",,CN,,
CN-0134,Wugong Air Base,"108.26599884033203, 34.274200439453125",,CN,,
CN-0135,Wulumuqi Air Base,"87.0785980225, 43.9502983093",2425,CN,,
CN-0136,Wuwei Air Base,"102.56700134277344, 37.98830032348633",,CN,,
CN-0137,Xian Air Base,"108.5989990234375, 34.153900146484375",,CN,,
CN-0138,Xincheng Air Base,"114.61900329589844, 25.54829978942871",,CN,,
CN-0139,Yaerbashi Test Range,"92.80809783935547, 43.07720184326172",,CN,,
CN-0140,Yanliang Air Base,"109.24299621582031, 34.64390182495117",,CN,,
CN-0143,Zhangye Ganzhou Airport,"100.675003052, 38.8018989563",5280,CN,Zhangye,YZY
CN-0145,Changzing Air Base,"119.73100280761719, 30.968599319458008",,CN,,
CN-0146,Daishan Air Base,"122.1449966430664, 30.287799835205078",,CN,,
CN-0147,Feidong Air Base,"117.65899658203125, 31.909400939941406",,CN,,
CN-0149,Fuzhou Air Base,"119.31199645996094, 26.0044002532959",,CN,Fuzhou,
CN-0152,Huian Air Base,"118.80699920654297, 25.026100158691406",,CN,,
CN-0153,Jianqiao/Hangzhou Airfield,"120.24099731445312, 30.33530044555664",,CN,Hangzhou,
CN-0154,Jiaxing Air Base,"120.68061065673828, 30.706640243530273",,CN,,
CN-0158,Longtian/Lung-T'ien Air Base,"119.45999908447266, 25.572799682617188",,CN,,
CN-0159,Longyou Air Base,"119.177001953125, 29.113100051879883",,CN,,
CN-0161,Mahuiling Air Base,"115.802001953125, 29.47719955444336",,CN,,
CN-0162,Nanchang New Airfield,"115.93000030517578, 28.63559913635254",,CN,Nanchang,
CN-0163,Nanchang Xiangtang Air Base,"115.92400360107422, 28.420799255371094",,CN,Nanchang,
CN-0165,Ningbo Zhangqiao Air Base,"121.5739974975586, 29.922800064086914",,CN,,
CN-0169,Shanghai Dachang Air Base,"121.41100311279297, 31.32360076904297",,CN,Shanghai,
CN-0182,Zhangshu Air Base,"115.5510025024414, 28.021699905395508",,CN,,
CN-0185,Changchun Air Base,"125.197998046875, 43.90530014038086",,CN,,
CN-0187,Chifeng Air Base,"118.84200286865234, 42.15890121459961",,CN,,
CN-0189,Dandong Airport,"124.286003, 40.0247",30,CN,Dandong,DDG
CN-0190,Dingxin/Shuangchengzi Air Base,"99.78939819335938, 40.40140151977539",,CN,,
CN-0191,Fuxin Air Base,"121.66200256347656, 42.07889938354492",,CN,,
CN-0192,Gongzhuling Air Base,"124.78600311279297, 43.524200439453125",,CN,,
CN-0193,Harbin Air Base,"126.658996582, 45.597499847399995",,CN,,
CN-0197,Kaiyuan Air Base,"123.98200225830078, 42.52579879760742",,CN,,
CN-0198,Lalin Air Base,"126.8949966430664, 45.2593994140625",,CN,,
CN-0201,Pingquan Air Base,"118.68099975585938, 40.90079879760742",,CN,,
CN-0204,Shenyang Beiling Air Base,"123.43900299072266, 41.87080001831055",,CN,Shenyang,
CN-0206,Shenyang Yu Hung Tun Air Base,"123.29900360107422, 41.8224983215332",,CN,Shenyang,
CN-0208,Siping Air Base,"124.29199981689453, 43.156898498535156",,CN,,
CN-0209,Suizhong Air Base,"120.35900115966797, 40.29890060424805",,CN,,
CN-0210,Tuchengzi Air Base,"121.23899841308594, 38.912200927734375",,CN,,
CN-JNZ,Sanshilipu Air Base,"121.76100158691406, 39.28950119018555",,CN,Dalian,
CNC3,Brampton Airport,"-79.875, 43.7602996826",935,CA,Brampton,
CY-0002,Geçitkale Air Base,"33.724358, 35.235947",146,CY,Geçitkale,GEC
CYAC,Cat Lake Airport,"-91.82440185546875, 51.72719955444336",1344,CA,Cat Lake,YAC
CYAG,Fort Frances Municipal Airport,"-93.439697265625, 48.65420150756836",1125,CA,Fort Frances,YAG
CYAH,La Grande-4 Airport,"-73.6753005981, 53.754699707",1005,CA,La Grande-4,YAH
CYAL,Alert Bay Airport,"-126.91600036621094, 50.58219909667969",240,CA,Alert Bay,YAL
CYAM,Sault Ste Marie Airport,"-84.5093994140625, 46.48500061035156",630,CA,Sault Ste Marie,YAM
CYAQ,Kasabonika Airport,"-88.6427993774414, 53.52470016479492",672,CA,Kasabonika,XKS
CYAS,Kangirsuk Airport,"-69.99919891357422, 60.027198791503906",403,CA,Kangirsuk,YKG
CYAT,Attawapiskat Airport,"-82.43190002441406, 52.9275016784668",31,CA,Attawapiskat,YAT
CYAU,Liverpool South Shore Regional Airport,"-64.85610198970001, 44.2303009033",321,CA,Liverpool,
CYAV,Winnipeg / St. Andrews Airport,"-97.03250122070001, 50.0564002991",760,CA,Winnipeg,
CYAX,Lac Du Bonnet Airport,"-96.0100021362, 50.2943992615",850,CA,Lac Du Bonnet,
CYAY,St. Anthony Airport,"-56.083099365200006, 51.3918991089",108,CA,St. Anthony,YAY
CYAZ,Tofino / Long Beach Airport,"-125.775583, 49.079833",80,CA,Tofino,YAZ
CYBB,Kugaaruk Airport,"-89.808098, 68.534401",56,CA,Kugaaruk,YBB
CYBC,Baie Comeau Airport,"-68.20439910888672, 49.13249969482422",71,CA,Baie-Comeau,YBC
CYBD,Bella Coola Airport,"-126.596001, 52.387501",117,CA,Bella Coola,QBC
CYBE,Uranium City Airport,"-108.48100280761719, 59.5614013671875",1044,CA,Uranium City,YBE
CYBF,Bonnyville Airport,"-110.744003, 54.304199",1836,CA,Bonnyville,YBY
CYBG,CFB Bagotville,"-70.99639892578125, 48.33060073852539",522,CA,Bagotville,YBG
CYBK,Baker Lake Airport,"-96.077796936, 64.29889678960001",59,CA,Baker Lake,YBK
CYBL,Campbell River Airport,"-125.27100372314453, 49.950801849365234",346,CA,Campbell River,YBL
CYBQ,Tadoule Lake Airport,"-98.512199, 58.7061",923,CA,Tadoule Lake,XTL
CYBR,Brandon Municipal Airport,"-99.951897, 49.91",1343,CA,Brandon,YBR
CYBT,Brochet Airport,"-101.679001, 57.8894",1136,CA,Brochet,YBT
CYBU,Nipawin Airport,"-104.00800323486328, 53.33250045776367",1220,CA,Nipawin,
CYBV,Berens River Airport,"-97.018303, 52.358898",728,CA,Berens River,YBV
CYBW,Calgary / Springbank Airport,"-114.374000549, 51.103099823",3940,CA,Calgary,
CYBX,Lourdes de Blanc Sablon Airport,"-57.185298919699996, 51.443599700899995",121,CA,Lourdes-De-Blanc-Sablon,YBX
CYCA,Cartwright Airport,"-57.041900634765625, 53.68280029296875",40,CA,Cartwright,YRF
CYCB,Cambridge Bay Airport,"-105.138000488, 69.1081008911",90,CA,Cambridge Bay,YCB
CYCC,Cornwall Regional Airport,"-74.56330108642578, 45.09280014038086",175,CA,Cornwall,YCC
CYCD,Nanaimo Airport,"-123.869862556, 49.054970224899996",92,CA,Nanaimo,YCD
CYCE,Centralia / James T. Field Memorial Aerodrome,"-81.508301, 43.285599",824,CA,Centralia,YCE
CYCG,Castlegar/West Kootenay Regional Airport,"-117.632003784, 49.2963981628",1624,CA,Castlegar,YCG
CYCH,Miramichi Airport,"-65.449203, 47.007801",108,CA,Miramichi,YCH
CYCL,Charlo Airport,"-66.330299, 47.990799",132,CA,Charlo,YCL
CYCN,Cochrane Airport,"-81.01360321044922, 49.10559844970703",861,CA,Cochrane,YCN
CYCO,Kugluktuk Airport,"-115.143997, 67.816704",74,CA,Kugluktuk,YCO
CYCP,Blue River Airport,"-119.28299713134766, 52.11669921875",2240,CA,Blue River,
CYCQ,Chetwynd Airport,"-121.62699890136719, 55.687198638916016",2000,CA,Chetwynd,YCQ
CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,"-97.76080322265625, 54.610599517822266",709,CA,Cross Lake,YCR
CYCS,Chesterfield Inlet Airport,"-90.73110198970001, 63.346900939899996",32,CA,Chesterfield Inlet,YCS
CYCY,Clyde River Airport,"-68.5167007446, 70.4860992432",87,CA,Clyde River,YCY
CYDA,Dawson City Airport,"-139.1280059814453, 64.04309844970703",1215,CA,Dawson City,YDA
CYDB,Burwash Airport,"-139.04100036621094, 61.37110137939453",2647,CA,Burwash,YDB
CYDC,Princeton Airport,"-120.511001587, 49.4681015015",2298,CA,Town of Princeton,
CYDF,Deer Lake Airport,"-57.39139938354492, 49.21080017089844",72,CA,Deer Lake,YDF
CYDM,Ross River Airport,"-132.42300415, 61.9706001282",2314,CA,Ross River,XRR
CYDN,Dauphin Barker Airport,"-100.052001953125, 51.100799560546875",999,CA,Dauphin,YDN
CYDO,Dolbeau St Felicien Airport,"-72.375, 48.778499603271",372,CA,Dolbeau-St-Félicien,YDO
CYDP,Nain Airport,"-61.680301666259766, 56.549198150634766",22,CA,Nain,YDP
CYDQ,Dawson Creek Airport,"-120.18299865722656, 55.7422981262207",2148,CA,Dawson Creek,YDQ
CYEE,Huronia Airport,"-79.9282989502, 44.6833000183",770,CA,Midland,
CYEG,Edmonton International Airport,"-113.580001831, 53.309700012200004",2373,CA,Edmonton,YEG
CYEK,Arviat Airport,"-94.07080078119999, 61.0942001343",32,CA,Arviat,YEK
CYEL,Elliot Lake Municipal Airport,"-82.5614013672, 46.351398468",1087,CA,Elliot Lake,YEL
CYEM,Manitoulin East Municipal Airport,"-81.85810089111328, 45.84280014038086",869,CA,Manitowaning,YEM
CYEN,Estevan Airport,"-102.966003418, 49.2103004456",1905,CA,Estevan,YEN
CYER,Fort Severn Airport,"-87.67610168457031, 56.01890182495117",48,CA,Fort Severn,YER
CYET,Edson Airport,"-116.464996338, 53.578899383499994",3043,CA,Edson,YET
CYEV,Inuvik Mike Zubko Airport,"-133.483001709, 68.30419921880001",224,CA,Inuvik,YEV
CYEY,Amos Magny Airport,"-78.24970245361328, 48.563899993896484",1068,CA,Amos,YEY
CYFA,Fort Albany Airport,"-81.6968994140625, 52.20140075683594",48,CA,Fort Albany,YFA
CYFB,Iqaluit Airport,"-68.555801, 63.756402",110,CA,Iqaluit,YFB
CYFC,Fredericton Airport,"-66.53720092773438, 45.868900299072266",68,CA,Fredericton,YFC
CYFE,Forestville Airport,"-69.09719848632812, 48.74610137939453",293,CA,Forestville,YFE
CYFH,Fort Hope Airport,"-87.90779876708984, 51.5619010925293",899,CA,Fort Hope,YFH
CYFJ,La Macaza / Mont-Tremblant International Inc Airport,"-74.7799987793, 46.409400939899996",827,CA,Rivière Rouge,YTM
CYFO,Flin Flon Airport,"-101.68199920654297, 54.6781005859375",997,CA,Flin Flon,YFO
CYFR,Fort Resolution Airport,"-113.690002441, 61.1808013916",526,CA,Fort Resolution,YFR
CYFS,Fort Simpson Airport,"-121.23699951171875, 61.76020050048828",555,CA,Fort Simpson,YFS
CYFT,Makkovik Airport,"-59.1864013671875, 55.076900482177734",234,CA,Makkovik,YMN
CYGB,Texada Gillies Bay Airport,"-124.51799774169922, 49.69419860839844",326,CA,Texada,YGB
CYGD,Goderich Airport,"-81.7106018066, 43.7668991089",712,CA,Goderich,
CYGE,Golden Airport,"-116.982002, 51.299196",2575,CA,Golden,
CYGH,Fort Good Hope Airport,"-128.6510009765625, 66.24079895019531",268,CA,Fort Good Hope,YGH
CYGK,Kingston Norman Rogers Airport,"-76.5969009399414, 44.22529983520508",305,CA,Kingston,YGK
CYGL,La Grande Rivière Airport,"-77.7042007446289, 53.625301361083984",639,CA,La Grande Rivière,YGL
CYGM,Gimli Industrial Park Airport,"-97.04329681396484, 50.62810134887695",753,CA,Gimli,YGM
CYGO,Gods Lake Narrows Airport,"-94.49140167236328, 54.55889892578125",617,CA,Gods Lake Narrows,YGO
CYGP,Gaspé (Michel-Pouliot) Airport,"-64.4785995483, 48.7752990723",112,CA,Gaspé,YGP
CYGQ,Geraldton Greenstone Regional Airport,"-86.93939971923828, 49.77830123901367",1144,CA,Geraldton,YGQ
CYGR,Îles-de-la-Madeleine Airport,"-61.778099060058594, 47.42470169067383",35,CA,Îles-de-la-Madeleine,YGR
CYGT,Igloolik Airport,"-81.8161010742, 69.3647003174",174,CA,Igloolik,YGT
CYGV,Havre St Pierre Airport,"-63.61140060424805, 50.281898498535156",124,CA,Havre St-Pierre,YGV
CYGW,Kuujjuarapik Airport,"-77.76529693603516, 55.281898498535156",34,CA,Kuujjuarapik,YGW
CYGX,Gillam Airport,"-94.71060180664062, 56.35749816894531",476,CA,Gillam,YGX
CYGZ,Grise Fiord Airport,"-82.90920257570001, 76.4261016846",146,CA,Grise Fiord,YGZ
CYHA,Quaqtaq Airport,"-69.6177978515625, 61.0463981628418",103,CA,Quaqtaq,YQC
CYHD,Dryden Regional Airport,"-92.74420166015625, 49.83169937133789",1354,CA,Dryden,YHD
CYHE,Hope Airport,"-121.498001099, 49.3683013916",128,CA,Hope,YHE
CYHF,Hearst René Fontaine Municipal Airport,"-83.68609619140625, 49.71419906616211",827,CA,Hearst,YHF
CYHH,Nemiscau Airport,"-76.1355972290039, 51.69110107421875",802,CA,Nemiscau,YNS
CYHI,Ulukhaktok Holman Airport,"-117.80599975585938, 70.76280212402344",117,CA,Ulukhaktok,YHI
CYHK,Gjoa Haven Airport,"-95.84970092770001, 68.635597229",152,CA,Gjoa Haven,YHK
CYHM,John C. Munro Hamilton International Airport,"-79.93499755859999, 43.173599243199995",780,CA,Hamilton,YHM
CYHN,Hornepayne Municipal Airport,"-84.75890350341797, 49.19309997558594",1099,CA,Hornepayne,YHN
CYHO,Hopedale Airport,"-60.228599548339844, 55.448299407958984",39,CA,Hopedale,YHO
CYHR,Chevery Airport,"-59.63669967651367, 50.46889877319336",39,CA,Chevery,YHR
CYHT,Haines Junction Airport,"-137.54600524902344, 60.78919982910156",2150,CA,Haines Junction,YHT
CYHU,Montréal / Saint-Hubert Airport,"-73.4169006348, 45.5175018311",90,CA,Montréal,YHU
CYHY,Hay River / Merlyn Carter Airport,"-115.782997131, 60.8396987915",541,CA,Hay River,YHY
CYHZ,Halifax / Stanfield International Airport,"-63.5085983276, 44.8807983398",477,CA,Halifax,YHZ
CYIB,Atikokan Municipal Airport,"-91.6386032104, 48.7738990784",1408,CA,Atikokan,YIB
CYID,Digby / Annapolis Regional Airport,"-65.7854247093, 44.5458450365",499,CA,Digby,YDG
CYIF,St Augustin Airport,"-58.6582984924, 51.2117004395",20,CA,St-Augustin,YIF
CYIK,Ivujivik Airport,"-77.92530059814453, 62.417301177978516",126,CA,Ivujivik,YIK
CYIO,Pond Inlet Airport,"-77.9666976929, 72.6832962036",181,CA,Pond Inlet,YIO
CYIV,Island Lake Airport,"-94.65360260009766, 53.857200622558594",770,CA,Island Lake,YIV
CYJF,Fort Liard Airport,"-123.46900177, 60.235801696799996",708,CA,Fort Liard,YJF
CYJN,St Jean Airport,"-73.28109741210938, 45.29439926147461",136,CA,St Jean,YJN
CYJT,Stephenville Airport,"-58.54999923706055, 48.5442008972168",84,CA,Stephenville,YJT
CYKA,Kamloops Airport,"-120.444000244, 50.7022018433",1133,CA,Kamloops,YKA
CYKD,Aklavik/Freddie Carmichael Airport,"-135.00599, 68.223297",23,CA,Aklavik,LAK
CYKF,Waterloo Airport,"-80.3786010742, 43.460800170899994",1055,CA,Kitchener,YKF
CYKG,Kangiqsujuaq (Wakeham Bay) Airport,"-71.929397583, 61.5886001587",501,CA,Kangiqsujuaq,YWB
CYKJ,Key Lake Airport,"-105.61799621582031, 57.256099700927734",1679,CA,Key Lake,YKJ
CYKL,Schefferville Airport,"-66.8052978515625, 54.805301666259766",1709,CA,Schefferville,YKL
CYKO,Akulivik Airport,"-78.14859771728516, 60.818599700927734",75,CA,Akulivik,AKV
CYKQ,Waskaganish Airport,"-78.75830078125, 51.47330093383789",80,CA,Waskaganish,YKQ
CYKX,Kirkland Lake Airport,"-79.98139953613281, 48.21030044555664",1157,CA,Kirkland Lake,YKX
CYKY,Kindersley Airport,"-109.180999756, 51.5175018311",2277,CA,Kindersley,YKY
CYKZ,Buttonville Municipal Airport,"-79.37000274658203, 43.86220169067383",650,CA,Toronto,YKZ
CYLA,Aupaluk Airport,"-69.59970092773438, 59.29669952392578",119,CA,Aupaluk,YPJ
CYLC,Kimmirut Airport,"-69.88330078119999, 62.8499984741",175,CA,Kimmirut,YLC
CYLD,Chapleau Airport,"-83.3467025756836, 47.81999969482422",1470,CA,Chapleau,YLD
